WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
25,25,0,0.25,0.33,2.5,1,0,15.14,14.46,13.68,0.91,-18.51,-26.45,-50.51,-38.93,1.12,8.4,7.95,8.62,option_2.png
35,25,0,0.25,0.33,2.5,1,0,15.94,15.4,21.75,1.26,-14.21,-21.67,-21.31,-15.44,2.19,8.92,8.52,9.14,option_3.png
45,25,0,0.25,0.33,2.5,1,0,16.72,16.56,30.03,1.63,-10.01,-15.77,8.65,9.40,2.98,9.27,8.85,9.54,option_4.png
25,35,0,0.25,0.33,2.5,1,0,15.25,14.57,15.09,0.93,-17.92,-25.89,-45.41,-37.58,1.23,8.37,7.77,8.71,option_5.png
35,35,0,0.25,0.33,2.5,1,0,16.04,15.52,23.01,1.29,-13.67,-21.06,-16.75,-13.42,2.29,8.9,8.49,9.22,option_6.png
45,35,0,0.25,0.33,2.5,1,0,16.82,16.76,31,1.66,-9.47,-14.75,12.16,11.41,3.05,9.14,8.77,9.59,option_7.png
25,45,0,0.25,0.33,2.5,1,0,15.35,14.71,16.23,0.96,-17.38,-25.18,-41.28,-35.57,1.32,8.38,7.75,8.78,option_8.png
35,45,0,0.25,0.33,2.5,1,0,16.13,15.59,23.98,1.32,-13.19,-20.70,-13.24,-11.41,2.33,8.85,8.36,9.2,option_9.png
45,45,0,0.25,0.33,2.5,1,0,16.92,16.88,31.88,1.7,-8.93,-14.14,15.34,14.09,3.14,9.08,8.74,9.58,option_10.png
25,25,1,0.25,0.33,2.5,1,0,14.74,13.47,8,0.39,-20.67,-31.49,-71.06,-73.83,0.74,6.72,6.75,7.16,option_11.png
35,25,1,0.25,0.33,2.5,1,0,15.5,14.34,13.17,0.46,-16.58,-27.06,-52.35,-69.13,1.24,6.66,6.89,7.02,option_12.png
45,25,1,0.25,0.33,2.5,1,0,16.11,15.08,20.49,0.56,-13.29,-23.30,-25.87,-62.42,1.84,6.66,6.93,7.1,option_13.png
25,35,1,0.25,0.33,2.5,1,0,14.85,13.58,9.48,0.41,-20.08,-30.93,-65.70,-72.48,0.88,6.62,6.76,7.1,option_14.png
35,35,1,0.25,0.33,2.5,1,0,15.6,14.45,14.72,0.49,-16.04,-26.50,-46.74,-67.11,1.35,6.59,6.87,6.95,option_15.png
45,35,1,0.25,0.33,2.5,1,0,16.2,15.17,21.82,0.58,-12.81,-22.84,-21.06,-61.07,1.93,6.54,6.8,7.05,option_16.png
25,45,1,0.25,0.33,2.5,1,0,14.96,13.71,10.69,0.44,-19.48,-30.26,-61.32,-70.47,0.92,6.53,6.68,7.1,option_17.png
35,45,1,0.25,0.33,2.5,1,0,15.7,14.67,15.9,0.52,-15.50,-25.38,-42.47,-65.10,1.45,6.48,6.72,6.91,option_18.png
45,45,1,0.25,0.33,2.5,1,0,16.29,15.24,22.87,0.61,-12.33,-22.48,-17.26,-59.06,2,6.45,6.77,7.07,option_19.png
25,25,2,0.25,0.33,2.5,1,0,14.28,11.37,7.11,0.07,-23.14,-42.17,-74.28,-95.30,0.09,4.76,4.63,4.47,option_20.png
35,25,2,0.25,0.33,2.5,1,0,14.87,11.6,10.4,0.08,-19.97,-41.00,-62.37,-94.63,0.23,4.61,4.47,4.22,option_21.png
45,25,2,0.25,0.33,2.5,1,0,15.5,11.99,13.68,0.1,-16.58,-39.01,-50.51,-93.29,0.34,4.46,4.32,4.11,option_22.png
25,35,2,0.25,0.33,2.5,1,0,14.41,11.43,7.61,0.07,-22.44,-41.86,-72.47,-95.30,0.14,4.68,4.58,4.36,option_23.png
35,35,2,0.25,0.33,2.5,1,0,15,11.66,10.85,0.09,-19.27,-40.69,-60.75,-93.96,0.29,4.59,4.45,4.22,option_24.png
45,35,2,0.25,0.33,2.5,1,0,15.63,12.11,14.24,0.11,-15.88,-38.40,-48.48,-92.62,0.38,4.46,4.29,4.05,option_25.png
25,45,2,0.25,0.33,2.5,1,0,14.53,11.49,8.1,0.07,-21.80,-41.56,-70.69,-95.30,0.16,4.7,4.59,4.3,option_26.png
35,45,2,0.25,0.33,2.5,1,0,15.14,11.8,11.39,0.09,-18.51,-39.98,-58.79,-93.96,0.32,4.49,4.41,4.16,option_27.png
45,45,2,0.25,0.33,2.5,1,0,15.75,12.2,14.68,0.11,-15.23,-37.95,-46.89,-92.62,0.39,4.41,4.33,4.03,option_28.png
25,25,0,0.35,0.43,2.5,1,0,15.46,15.46,20.88,1.27,-16.79,-21.36,-24.46,-14.77,2.73,10.1,9.89,10.82,option_29.png
